mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.198715877532959,0.02419804267028656,0.03618698120117188,0.014448802363820408,1.0,300,3,0.05,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.7184080984729846,0.7252639994050718,0.7332665941469207,0.7341645979086737,0.7351354957058284,0.7292477571278959,0.006455391005357196,17
3.839004707336426,0.09429198267739726,0.034991884231567384,0.0075885494456674925,0.8,300,5,0.01,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.7121177565226868,0.7287102412117779,0.7310055635349083,0.7318548495667674,0.7324383939989898,0.7272253609670261,0.007659535115522039,21
3.1436283588409424,0.03872000854138882,0.02182612419128418,0.0010540842610216137,0.8,300,3,0.01,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.6948543260018669,0.7164981810256669,0.7109053805186402,0.7141451444730134,0.7056315290482886,0.7084069122134952,0.007694330757956014,26
1.4818620204925537,0.9703406947277317,0.03167891502380371,0.004740191431508518,1.0,300,5,0.05,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.7213645042507295,0.7327596192321462,0.734263211491504,0.7271288199069517,0.7523404951870021,0.7335713300136666,0.010430068718450413,9
0.9943006038665771,0.08131834419439364,0.023674869537353517,0.002771274070159416,0.8,200,5,0.01,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.6990613825881589,0.7239185296488795,0.728278162261319,0.7221338229294165,0.7288124736620312,0.7204408742179609,0.010986806506998419,24
1.0850139617919923,0.09852630620672624,0.02117147445678711,0.005958434151273038,1.0,100,7,0.01,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.6938198871052426,0.7118836105798596,0.7057029960872613,0.6909024155567934,0.7148974704770754,0.7034412759612465,0.009564799300417754,27
0.837641429901123,0.06348778338259276,0.022908115386962892,0.0048391687183263555,0.8,100,7,0.05,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.716392455858748,0.742588141025641,0.7441076242172953,0.718111289459604,0.7389154776955029,0.7320229976513583,0.012190292830439233,13
0.6778284549713135,0.07697415235086857,0.021549749374389648,0.002413983021954477,1.0,200,5,0.1,0.8,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.7185726129438006,0.7443602061900344,0.7361817259308079,0.7312674948756466,0.7369421535941978,0.7334648387068975,0.008541533067280936,11
0.6183602809906006,0.04030580425812356,0.021668434143066406,0.0029276443001048013,1.0,300,3,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.7311002915695931,0.7414629720219028,0.7400193385988976,0.7412701079535757,0.7459975696213279,0.7399700559530593,0.0048769868486845235,1
1.125345802307129,0.06445623104726832,0.03299093246459961,0.006656216304165507,1.0,300,5,0.01,0.8,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.706989929191313,0.7307093698109379,0.7281237524950099,0.7311370038395064,0.7430731120808576,0.7280066334835249,0.011711689508470924,20
0.796726655960083,0.05387735665346182,0.02010512351989746,0.0007774007236672694,1.0,200,5,0.05,1.0,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.7226863497947835,0.7375823451910408,0.730177108374626,0.7266931465913744,0.7506340037977308,0.7335545907499113,0.009844131454738562,10
0.5143143653869628,0.07873643309786962,0.020886564254760744,0.007341932023079705,1.0,100,5,0.05,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.7217096771399119,0.7377370293208649,0.7313634037154246,0.7339719842979999,0.7438937934724452,0.7337351775893293,0.00734174834391696,8
0.2937771320343018,0.028465646389294632,0.01881880760192871,0.006330152230614408,0.8,100,3,0.01,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.6204661161453766,0.621831535577649,0.6543690026170399,0.6314724328068267,0.6295252066638659,0.6315328587621517,0.012182875260636064,30
0.804805850982666,0.0748280421404155,0.020798873901367188,0.0014270744630227577,0.8,200,5,0.05,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.7277902820071496,0.7460475975683181,0.7381004640662235,0.7367538242347056,0.7460308122267971,0.7389445960206388,0.006791139109056493,2
