mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10096545219421386,0.004417769587739058,0.013237190246582032,0.0013918399263528518,5,2,,gini,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'criterion': 'gini'}",0.6406004927965654,0.6525841330736274,0.6814240625357733,0.6410578970828587,0.6518888076609997,0.6535110786299649,0.014861969041105162,27
0.1337343692779541,0.022935083869393667,0.011654853820800781,0.0016689937647511553,10,4,20,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 20, 'criterion': 'entropy'}",0.6679749464422966,0.674648907770772,0.6618661725135144,0.6424064028596513,0.6583533171382715,0.6610499493449012,0.010848106988170644,18
0.11397042274475097,0.020699864297657033,0.012096786499023437,0.00200076069401477,2,1,20,gini,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'gini'}",0.6524039088617615,0.6567790827997302,0.6729153382561656,0.6358501552795031,0.6611528662420382,0.6558202702878397,0.012100200566314265,25
0.0991600513458252,0.0060115017890346,0.008800554275512695,0.001918800269381287,2,1,,gini,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'criterion': 'gini'}",0.6473939922199086,0.661076116299997,0.6801454277194829,0.6378853632418418,0.6573779233834959,0.6567757645729452,0.014211697229581573,24
0.10324125289916992,0.013742084060262815,0.008916997909545898,0.0013580983810840277,5,1,40,gini,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 40, 'criterion': 'gini'}",0.6539110824742268,0.6582588683396642,0.6620851081556776,0.6416937686326016,0.6593319194061507,0.6550561494016642,0.007180672349835144,26
0.10096454620361328,0.0035544191212604826,0.0074596405029296875,0.0006026262836300142,10,2,10,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 10, 'criterion': 'entropy'}",0.6700478246200909,0.6973969638350949,0.678569246845109,0.6967182034853128,0.6927004471534496,0.6870865371878114,0.010894510903799354,1
0.07986974716186523,0.008283977421844063,0.008313179016113281,0.0011294072956781153,5,1,10,gini,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'criterion': 'gini'}",0.6696375010712143,0.696965206185567,0.688999279036962,0.6854815569383476,0.6797077730739282,0.6841582632612038,0.009163664381133453,6
0.09075613021850586,0.010082438395045105,0.008319568634033204,0.0005841012171147089,5,4,40,gini,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 40, 'criterion': 'gini'}",0.6576937034361179,0.6598798395682433,0.6771407221487414,0.6545698924731183,0.6745986163686203,0.6647765547989682,0.009248417021784904,11
0.0748321533203125,0.00436688619502999,0.007419300079345703,0.0005907955700507675,2,2,10,gini,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10, 'criterion': 'gini'}",0.6682425522640782,0.696965206185567,0.7023894828971681,0.6896393149941165,0.6753333191172317,0.6865139750916323,0.012883164899431176,2
0.1303027629852295,0.00736672028610839,0.008393096923828124,0.0014610785362016193,2,1,20,entropy,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy'}",0.648856177831193,0.6587380435656298,0.6639352837015151,0.6577517297517297,0.6674152233943362,0.6593392916488808,0.006310647254515639,20
0.11626763343811035,0.016214873806074438,0.008762121200561523,0.0015000005722248533,10,1,10,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10, 'criterion': 'entropy'}",0.6689521940608734,0.6927716982315315,0.6816197636755967,0.6985831070065349,0.6885180093060479,0.686088954456117,0.01020103370116585,3
0.09618425369262695,0.01214016603139364,0.008289003372192382,0.0002769767483213031,5,2,40,gini,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 40, 'criterion': 'gini'}",0.6406004927965654,0.6525841330736274,0.6814240625357733,0.6410578970828587,0.6518888076609997,0.6535110786299649,0.014861969041105162,27
0.07549700736999512,0.0011353977233886058,0.007609176635742188,0.000860178118304988,2,1,10,gini,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'criterion': 'gini'}",0.6733032869430274,0.6863792377018014,0.6936685074984574,0.6833599906811288,0.6832001259790482,0.6839822297606928,0.006551462599805002,7
0.10001101493835449,0.0016911119502233236,0.007977819442749024,0.001313837605198467,2,1,10,entropy,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'criterion': 'entropy'}",0.6602168266164782,0.6940253422622269,0.6748867075533636,0.6964139269322158,0.6976702512426122,0.6846426109213792,0.014752054296378707,5
0.0911318302154541,0.0021773423802109947,0.007707643508911133,0.0006255119670871348,10,2,,gini,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None, 'criterion': 'gini'}",0.6407467716347774,0.6667402027889888,0.6672004989481919,0.6589864051751773,0.6587263277677295,0.658480041262973,0.009581884614582417,21
0.08991141319274902,0.0011324417847587422,0.007588052749633789,0.0005034955729372625,5,2,20,gini,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'criterion': 'gini'}",0.6396983260040585,0.6525841330736274,0.6788530451843209,0.6444521486470869,0.6518888076609997,0.6534952921140187,0.013554050032901603,29
