mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.854031896591186,0.19304691589053022,0.1465836524963379,0.015671162876778253,300,5,4,20,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'class_weight': 'balanced'}",0.7182719451190402,0.7413680572301262,0.7438826198945173,0.7549466031508811,0.7481938549353953,0.7413326160659921,0.012415438480341576,12
3.4266929626464844,0.04919214251231767,0.10450091361999511,0.003828599561236378,200,2,2,,balanced,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'class_weight': 'balanced'}",0.7107771746325964,0.7479768213560498,0.745073236078074,0.7479768213560498,0.7455553032743172,0.7394718713394174,0.014397481722226983,18
4.096152210235596,0.36281072786750856,0.10077962875366211,0.0077836228691561685,200,5,1,,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None, 'class_weight': 'balanced'}",0.7194137667847921,0.7433112670681732,0.7433957108248859,0.7474476516270225,0.7510315504791631,0.7409199893568074,0.011128513451872784,14
6.191882944107055,0.3216062157761168,0.15214958190917968,0.009701447950836845,300,2,1,40,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 40, 'class_weight': 'balanced'}",0.7159731094973935,0.7326193390452876,0.7389025800935473,0.7312779411474203,0.7365964243601374,0.7310738788287572,0.00802808066413542,28
5.319044351577759,0.1650497755432805,0.14704427719116211,0.018205215340554602,300,10,1,20,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 20, 'class_weight': 'balanced'}",0.7162830058480072,0.746226359139677,0.744145695638233,0.7518039757195769,0.7491641644002158,0.741524640149142,0.012885210639236214,11
3.6748441219329835,0.06950624518517315,0.09332399368286133,0.004680167826825389,200,5,2,20,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'class_weight': 'balanced'}",0.7171513728144596,0.7525310883679982,0.745226801288931,0.7474805620673981,0.7494334650856389,0.7423646579248852,0.01283275830460403,7
1.5333170413970947,0.09581006597447655,0.04748635292053223,0.003471342532697035,100,5,1,10,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'class_weight': 'balanced'}",0.7213488019082728,0.7429037537129284,0.7411942379034538,0.7453978889729457,0.7446077394460211,0.7390904843887244,0.008988409814679538,19
1.3979140281677247,0.03087005595465349,0.051026773452758786,0.010536984520862483,100,2,4,10,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10, 'class_weight': 'balanced'}",0.7253382571836194,0.7455476327369253,0.733952935321682,0.7544585987261146,0.7347533756947422,0.7388101599326168,0.010117405491674485,22
5.251324939727783,0.23275428882770008,0.1492147922515869,0.03391875442127586,300,5,2,40,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 40, 'class_weight': 'balanced'}",0.7179768386489146,0.7477133867007324,0.7551102989165905,0.7496735673820104,0.750886230198294,0.7442720643693084,0.013369161137383808,2
5.425721025466919,0.1880660522095725,0.14634761810302735,0.022643627235891188,300,2,2,,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'class_weight': 'balanced'}",0.7171513728144596,0.7504003742111438,0.7436262244681024,0.7511264822134387,0.7465267538416982,0.7417662415097686,0.012602984794806722,10
1.8689670085906982,0.11637629396419943,0.06185297966003418,0.012300745489245611,100,2,1,40,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 40, 'class_weight': 'balanced'}",0.7176014407902301,0.7313805119712293,0.7182215963385807,0.731181773230383,0.7359991863441425,0.726876901734913,0.0075230178450547995,29
